path,filename,source,original_size,original_mode,final_size,final_mode,alpha_min,alpha_max,transparent_percent,processing,status,direct_runtime_use,notes
major/bottom_shortcut_icon_sheet.png,bottom_shortcut_icon_sheet.png,/mnt/data/home_dashboard_asset_pack_complete/bottom_shortcut_icon_sheet.png,1254x1254,RGB,1254x1254,RGBA,0,255,45.6,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet; crop five icons before runtime use.
major/chapter_panel_frame.png,chapter_panel_frame.png,/mnt/data/home_dashboard_asset_pack_complete/chapter_panel_frame.png,2172x724,RGB,2172x724,RGBA,0,255,25.2,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/home_cosmic_background.png,home_cosmic_background.png,/mnt/data/home_dashboard_asset_pack_complete/home_cosmic_background.png,941x1672,RGB,941x1672,RGB,,,0.0,kept opaque full-screen background,READY,YES,Contains its own vortex and platform; use as base scene and layer extra vortex/beam selectively to avoid duplication.
major/home_energy_beam.png,home_energy_beam.png,/mnt/data/home_dashboard_asset_pack_complete/home_energy_beam.png,724x2172,RGB,724x2172,RGBA,0,255,48.3,converted baked matte/checkerboard to RGBA transparency,READY WITH CAVEAT,WITH CAVEAT,Dark checkerboard was removed algorithmically; inspect glow edges in browser.
major/home_escort_ship_01.png,home_escort_ship_01.png,/mnt/data/home_dashboard_asset_pack_complete/home_escort_ship_01.png,1024x1024,RGBA,244x205,RGBA,0,255,42.2,preserved real alpha; trimmed transparent padding,READY,YES,"Extracted from a generated sheet; adequate for small escort placement, not large hero use."
major/home_escort_ship_02.png,home_escort_ship_02.png,/mnt/data/home_dashboard_asset_pack_complete/home_escort_ship_02.png,1024x1024,RGBA,260x175,RGBA,0,255,48.4,preserved real alpha; trimmed transparent padding,READY,YES,"Extracted from a generated sheet; adequate for small escort placement, not large hero use."
major/home_escort_ship_03.png,home_escort_ship_03.png,/mnt/data/home_dashboard_asset_pack_complete/home_escort_ship_03.png,1024x1024,RGBA,262x209,RGBA,0,255,47.3,preserved real alpha; trimmed transparent padding,READY,YES,"Extracted from a generated sheet; adequate for small escort placement, not large hero use."
major/home_escort_ship_04.png,home_escort_ship_04.png,/mnt/data/home_dashboard_asset_pack_complete/home_escort_ship_04.png,1024x1024,RGBA,253x207,RGBA,0,255,43.9,preserved real alpha; trimmed transparent padding,READY,YES,"Extracted from a generated sheet; adequate for small escort placement, not large hero use."
major/home_landing_platform.png,home_landing_platform.png,/mnt/data/home_dashboard_asset_pack_complete/home_landing_platform.png,1254x1254,RGB,1254x1254,RGBA,0,255,17.3,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/home_main_hero_ship.png,home_main_hero_ship.png,/mnt/data/home_dashboard_asset_pack_complete/home_main_hero_ship.png,1254x1254,RGB,1254x1254,RGBA,0,255,36.0,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/home_vortex_portal.png,home_vortex_portal.png,/mnt/data/home_dashboard_asset_pack_complete/home_vortex_portal.png,1254x1254,RGB,1254x1254,RGBA,0,255,26.1,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/left_menu_icon_sheet.png,left_menu_icon_sheet.png,/mnt/data/home_dashboard_asset_pack_complete/left_menu_icon_sheet.png,2172x724,RGB,2172x724,RGBA,0,255,35.8,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet; crop five icons before runtime use.
major/mode_card_art_arena.png,mode_card_art_arena.png,/mnt/data/home_dashboard_asset_pack_complete/mode_card_art_arena.png,1024x1024,RGBA,290x265,RGBA,0,255,15.5,preserved real alpha; trimmed transparent padding,READY,YES,Extracted preview art; intended for small mode card only.
major/mode_card_art_boss_raid.png,mode_card_art_boss_raid.png,/mnt/data/home_dashboard_asset_pack_complete/mode_card_art_boss_raid.png,1254x1254,RGB,1254x1254,RGBA,0,255,11.5,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/mode_card_art_galaxy_war.png,mode_card_art_galaxy_war.png,/mnt/data/home_dashboard_asset_pack_complete/mode_card_art_galaxy_war.png,1024x1024,RGBA,273x268,RGBA,0,255,11.7,preserved real alpha; trimmed transparent padding,READY,YES,Extracted preview art; intended for small mode card only.
major/mode_card_art_guild.png,mode_card_art_guild.png,/mnt/data/home_dashboard_asset_pack_complete/mode_card_art_guild.png,1024x1024,RGBA,302x268,RGBA,0,255,12.0,preserved real alpha; trimmed transparent padding,READY,YES,Extracted preview art; intended for small mode card only.
major/multiplayer_card_art.png,multiplayer_card_art.png,/mnt/data/home_dashboard_asset_pack_complete/multiplayer_card_art.png,1254x1254,RGB,1254x1254,RGBA,0,255,22.4,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/notification_badge.png,notification_badge.png,/mnt/data/home_dashboard_asset_pack_complete/notification_badge.png,1254x1254,RGB,1254x1254,RGBA,0,255,38.4,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/play_button_frame.png,play_button_frame.png,/mnt/data/home_dashboard_asset_pack_complete/play_button_frame.png,2172x724,RGB,2172x724,RGBA,0,255,19.2,converted baked matte/checkerboard to RGBA transparency,READY,YES,
major/player_avatar_frame.png,player_avatar_frame.png,/mnt/data/home_dashboard_asset_pack_complete/player_avatar_frame.png,1024x1024,RGBA,291x250,RGBA,0,255,63.2,preserved real alpha; trimmed transparent padding,READY,YES,Small/simple frame; the larger player_profile_hud_frame should supply the surrounding profile structure.
major/power_panel_frame.png,power_panel_frame.png,/mnt/data/home_dashboard_asset_pack_complete/power_panel_frame.png,1536x512,RGBA,330x93,RGBA,0,255,29.1,preserved real alpha; trimmed transparent padding,READY,YES,
major/rarity_badge_sheet.png,rarity_badge_sheet.png,/mnt/data/home_dashboard_asset_pack_complete/rarity_badge_sheet.png,1254x1254,RGB,1254x1254,RGBA,0,255,45.1,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet with labels; crop badges before runtime use.
major/season_pass_emblem.png,season_pass_emblem.png,/mnt/data/home_dashboard_asset_pack_complete/season_pass_emblem.png,1024x1024,RGBA,289x265,RGBA,0,255,38.5,preserved real alpha; trimmed transparent padding,READY,YES,
major/topbar_icon_sheet.png,topbar_icon_sheet.png,/mnt/data/home_dashboard_asset_pack_complete/topbar_icon_sheet.png,2172x724,RGB,2172x724,RGBA,0,255,35.6,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet; crop six icons before runtime use.
ui/frames/bottom_shortcut_card_frame.png,bottom_shortcut_card_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/bottom_shortcut_card_frame.png,351x181,RGBA,351x181,RGBA,0,255,1.2,preserved real alpha,READY,YES,
ui/frames/bottom_shortcut_selected_frame.png,bottom_shortcut_selected_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/bottom_shortcut_selected_frame.png,371x186,RGBA,371x186,RGBA,0,255,1.1,preserved real alpha,READY,YES,
ui/frames/home_bottom_control_deck.png,home_bottom_control_deck.png,/mnt/data/futuristic_cyberpunk_hud_panel_design.png,2172x724,RGB,2172x724,RGBA,0,255,11.0,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/frames/home_top_hud_rail.png,home_top_hud_rail.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/home_top_hud_rail.png,2172x724,RGB,2172x724,RGBA,0,255,43.7,converted baked matte/checkerboard to RGBA transparency,READY WITH CAVEAT,WITH CAVEAT,Multi-socket rail may require CSS scaling/cropping to align precisely with the final 700×1024 layout.
ui/frames/left_menu_button_frame.png,left_menu_button_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/left_menu_button_frame.png,2172x724,RGB,2172x724,RGBA,0,255,32.3,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/frames/mode_card_frame.png,mode_card_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/mode_card_frame.png,351x400,RGBA,351x400,RGBA,0,255,2.0,preserved real alpha,READY,YES,
ui/frames/multiplayer_card_frame.png,multiplayer_card_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/multiplayer_card_frame.png,536x171,RGBA,536x171,RGBA,0,255,1.5,preserved real alpha,READY,YES,"Includes a baked VS emblem, which matches the reference concept but is not an empty frame."
ui/frames/player_profile_hud_frame.png,player_profile_hud_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/player_profile_hud_frame.png,2172x724,RGB,2172x724,RGBA,0,255,11.7,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/frames/resource_capsule_frame.png,resource_capsule_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/resource_capsule_frame.png,2172x724,RGB,2172x724,RGBA,0,255,34.2,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/frames/season_pass_card_frame.png,season_pass_card_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/season_pass_card_frame.png,1086x1448,RGB,1086x1448,RGBA,0,255,14.5,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/frames/status_strip_frame.png,status_strip_frame.png,/mnt/data/home_remaining_ui_assets_pack_18/frames/status_strip_frame.png,401x121,RGBA,401x121,RGBA,0,255,1.4,preserved real alpha,READY,YES,
ui/frames/top_action_button_frame.png,top_action_button_frame.png,/mnt/data/_top_action_button_frame_complete_v4.png,435x435,RGB,435x435,RGBA,0,255,37.9,converted baked matte/checkerboard to RGBA transparency,READY WITH CAVEAT,WITH CAVEAT,Derived from the resource capsule socket and repaired to a complete square frame.
ui/icons/power_crossed_swords_icon.png,power_crossed_swords_icon.png,/mnt/data/home_remaining_ui_assets_pack_18/icons/power_crossed_swords_icon.png,1254x1254,RGB,1254x1254,RGBA,0,255,34.0,converted baked matte/checkerboard to RGBA transparency,READY,YES,
ui/icons/timer_clock_icon.png,timer_clock_icon.png,/mnt/data/home_remaining_ui_assets_pack_18/icons/timer_clock_icon.png,395x395,RGBA,395x395,RGBA,0,255,32.7,converted baked matte/checkerboard to RGBA transparency,READY WITH CAVEAT,WITH CAVEAT,"Derived from pagination-dot artwork and manually given clock hands; usable at small size, but not a bespoke generated timer icon."
ui/navigation/chapter_navigation_icon_sheet.png,chapter_navigation_icon_sheet.png,/mnt/data/home_remaining_ui_assets_pack_18/navigation/chapter_navigation_icon_sheet.png,2508x627,RGB,2508x627,RGBA,0,255,40.8,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet containing left and right arrows; crop before runtime use.
ui/navigation/chapter_pagination_dot_sheet.png,chapter_pagination_dot_sheet.png,/mnt/data/home_remaining_ui_assets_pack_18/navigation/chapter_pagination_dot_sheet.png,2508x627,RGB,2508x627,RGBA,0,255,46.2,converted baked matte/checkerboard to RGBA transparency,READY AS SOURCE SHEET,CROP BEFORE RUNTIME,Source sheet containing active and inactive dots; crop before runtime use.
ui/overlays/home_outer_hud_overlay.png,home_outer_hud_overlay.png,/mnt/data/home_remaining_ui_assets_pack_18/overlays/home_outer_hud_overlay.png,941x1672,RGB,941x1672,RGBA,0,255,51.0,converted baked matte/checkerboard to RGBA transparency,READY WITH CAVEAT,WITH CAVEAT,Decorative full-screen overlay; preserve aspect ratio and use pointer-events:none.
ui/portraits/player_avatar_portrait.png,player_avatar_portrait.png,/mnt/data/home_remaining_ui_assets_pack_18/portraits/player_avatar_portrait.png,1254x1254,RGB,1254x1254,RGBA,0,255,27.4,converted baked matte/checkerboard to RGBA transparency,READY,YES,
