filename,category,authority,implementation_use,warning
ships_01_to_20.png,Ships,Authoritative,"Official names, colors, silhouettes, roles","Concept sheet only; individual transparent sprites still required"
fire_styles_ships_01_to_20.png,Weapons,Supporting,"Final fire-character inspiration","Use five-level sheets for actual progression mapping"
fire_levels_ships_01_to_05.png,Weapons,Authoritative,"Fire Levels 1-5 for ships 1-5","Translate patterns into configuration and particles"
fire_levels_ships_06_to_10.png,Weapons,Authoritative,"Fire Levels 1-5 for ships 6-10","Translate patterns into configuration and particles"
fire_levels_ships_11_to_15.png,Weapons,Authoritative,"Fire Levels 1-5 for ships 11-15","Translate patterns into configuration and particles"
fire_levels_ships_16_to_20.png,Weapons,Authoritative,"Fire Levels 1-5 for ships 16-20","Translate patterns into configuration and particles"
calamity_attacks_ships_01_to_20.png,Calamity,Effects-only,"Broad VFX inspiration","Rejected ship identities and attack mappings; do not treat as canonical"
home_dashboard_and_hangar_upgrade.png,Dashboard,Authoritative,"Home and ship-upgrade visual hierarchy","Implement as separate responsive pages"
ship_selection_and_arsenal.png,Dashboard,Authoritative,"Ship roster and equipment layout","Implement as separate responsive pages"
weapon_upgrade_and_companion.png,Dashboard,Authoritative,"Weapon and companion systems","Implement as separate responsive pages"
tech_tree_and_manage_companions.png,Dashboard,Authoritative,"Formation and tech-tree structure","Implement as separate responsive pages"
modules_core_and_shop.png,Dashboard,Authoritative,"Modules/core and shop visual structure","Economy values in image are placeholders"
weapons_tab_and_skins.png,Dashboard,Authoritative,"Loadout and cosmetic customization","Do not bake rarity frames into item artwork"
awakening_and_special_attack_calamity.png,Dashboard,Authoritative,"Awakening and calamity-management UI","Use official 20-ship mapping, not rejected calamity poster"
stats_and_mission.png,Dashboard,Authoritative,"Stats explanation and mission layout","All numbers must be calculated from real data"
daily_rewards_and_achievements.png,Dashboard,Authoritative,"Reward and achievement layout","Timers and claims require real state"
season_pass_and_leaderboard.png,Dashboard,Authoritative,"Season and ranking layout","Backend can be deferred"
player_profile_and_inventory.png,Dashboard,Authoritative,"Identity and inventory layout","Inventory must be unified and data-driven"
campaign_chapter_and_boss_raid.png,Dashboard,Authoritative,"Chapter map and boss-raid layout","Boss Raid is a later phase"
arena_and_galaxy_war.png,Dashboard,Authoritative,"Competitive-mode layout","Start with simulated/local modes before backend"
multiplayer_and_guild.png,Dashboard,Authoritative,"Social and multiplayer layout","Requires backend in a later phase"
events.png,Dashboard,Authoritative,"Live event hub and exchange layout","Implement after core progression"
dashboard_map.png,Architecture,Authoritative,"Navigation/system grouping","Use as information architecture, not literal page UI"
